  0.000000    74949.717285   
   0.050000   67708.357239    
   0.100000   60021.997487    
  0.150000    53099.997977    
  0.200000    48390.766867    

  0.250000    42539.295883    
  0.300000    35373.114863     
 
  0.350000     31977.852728    

  0.400000     26939.775268    
  0.450000    21284.557322    
  0.500000    17495.820574    

  0.550000    14494.373987     
 

  0.600000     12154.109950   

  0.650000     8361.270726     

  0.700000     6694.010255     

  0.750000     4707.634413     
  0.800000     2965.671630     

  0.850000     1712.897061     

  0.900000     706.732264     
  0.950000     276.352721      
