  0.000000     653.611672     
  0.050000     617.243368      

  0.100000     593.244914      

  0.150000     563.417978      

  0.200000     532.958562      

  0.250000     506.315584     

  0.300000     468.904340     

  0.350000     430.315515     

  0.400000     400.629197    
  0.450000     367.566573     

  0.500000      332.691138    

  0.550000     298.445990     

  0.600000     265.004978     

  0.650000     237.344823     

  0.700000     207.291423     

  0.750000     176.871044     

  0.800000     151.329557    

  0.850000     120.914440     

  0.900000     90.795127      

  0.950000     72.849286      
