0 0 0	1228.68 0 16 24 8 12 44 45 44 40 44 46 62 63
0 0 1	1785.2 0 16 24 16 24 16 24 8 12 44 40 8 9 8 24 56 24 16 24 25 29 31 63
0 1 0	4290.59 0 16 24 25 9 25 9 25 9 8 9 8 40 44 46 62 63
0 1 1	752.5 0 16 20 16 17 25 17 16 24 25 24 25 9 25 9 25 9 25 17 25 57 59 63
0 2 0	11796.1 0 16 24 25 9 25 9 8 9 11 9 25 29 31 63
0 2 1	3165.34 0 16 24 16 24 16 17 16 18 16 24 25 9 11 10 2 0 16 24 8 24 16 24 16 24 16 17 16 24 25 24 25 27 31 63
0 3 0	206.037 0 8 12 44 46 62 63
0 3 1	1264.18 0 16 24 16 24 16 24 28 12 14 10 42 40 44 12 44 45 44 40 44 40 8 40 44 40 44 45 37 39 37 39 47 63
0 4 0	3135.26 0 8 9 11 9 25 9 8 9 25 9 13 12 44 46 47 63
0 4 1	681.75 0 16 48 32 48 16 48 16 24 8 9 25 24 16 20 21 29 31 63
0 5 0	1490.16 0 8 40 44 46 62 63
0 5 1	273.742 0 32 48 16 24 16 24 25 29 31 63
0 6 0	1978.27 0 16 20 16 18 16 24 16 24 25 9 25 29 31 63
0 6 1	3999.58 0 8 24 8 9 25 24 25 24 16 48 16 24 16 24 16 24 25 9 25 24 16 48 56 24 16 24 16 18 16 24 25 17 25 24 16 48 16 24 25 9 11 9 25 24 25 9 8 12 44 46 62 63
0 7 0	1243.12 0 8 40 44 12 44 46 62 63
0 7 1	312.009 0 4 12 44 45 61 63
0 8 0	20914.6 0 16 48 16 24 16 24 16 24 16 24 25 9 25 9 25 9 11 9 25 9 25 9 25 9 1 9 25 9 25 9 25 9 11 9 8 9 8 12 44 12 44 45 37 39 55 63
0 8 1	3301.93 0 16 48 16 24 25 17 16 24 25 9 8 24 25 24 16 24 8 24 25 9 25 9 25 24 16 18 16 24 8 9 8 40 44 46 14 46 44 46 47 63
0 9 0	2041.3 0 16 24 16 24 25 9 8 40 44 46 62 63
0 9 1	682.917 0 32 40 32 40 44 45 61 63
0 10 0	11200.9 0 8 9 8 9 25 9 25 9 25 9 1 9 8 9 8 9 25 9 25 9 41 40 44 12 44 45 44 46 47 63
0 10 1	930.587 0 16 24 16 24 25 17 25 9 8 9 25 29 31 63
0 11 0	33068.5 0 8 9 25 9 25 9 25 9 25 9 8 9 25 9 25 9 8 9 1 9 25 9 25 9 25 9 25 9 25 9 25 9 1 9 8 9 11 9 25 9 13 9 8 9 8 9 11 9 25 9 25 9 25 9 8 12 44 40 44 40 44 46 62 63
0 11 1	324.629 0 16 24 16 17 25 29 61 63
0 12 0	8095.28 0 16 24 25 9 25 9 25 9 8 9 25 9 25 29 61 63
0 12 1	1150.78 0 16 24 25 9 1 9 25 24 8 40 44 46 62 63
0 13 0	8063.43 0 16 24 25 24 25 24 16 24 25 9 25 9 25 9 8 40 44 46 62 63
0 13 1	938.201 0 16 0 16 24 25 9 25 24 16 24 28 24 8 12 44 36 44 40 56 24 25 29 31 63
0 14 0	5342.63 0 16 24 25 9 25 9 25 9 8 9 25 29 31 63
0 14 1	702.8 0 8 9 8 24 16 18 16 48 16 24 16 24 28 24 16 24 16 0 8 40 44 46 62 63
0 15 0	11688.5 0 8 9 25 9 8 9 25 9 25 9 25 9 25 9 25 9 8 9 8 40 44 12 44 45 47 63
0 15 1	319.718 0 8 24 8 12 44 45 61 63
0 16 0	2935.69 0 16 24 8 9 25 9 25 29 31 63
0 16 1	1891.17 0 16 17 25 24 25 24 25 24 16 48 16 24 8 24 16 24 8 40 32 40 8 9 25 9 25 57 59 63
0 17 0	11567.9 0 16 24 25 9 25 9 25 24 8 24 25 9 25 9 25 9 25 9 25 9 8 40 44 45 47 63
0 17 1	1345.78 0 16 24 16 24 16 24 8 24 16 24 28 12 44 12 4 12 44 46 62 63
0 18 0	4253.47 0 16 24 8 9 1 9 25 9 8 12 44 46 62 63
0 18 1	563.898 0 8 9 25 24 16 24 28 29 31 63
0 19 0	4699.72 0 16 24 16 24 25 9 8 12 44 46 62 63
0 19 1	172.268 0 8 40 44 46 62 63
1 0 0	105.48 0 8 40 41 43 59 63
1 0 1	699.446 0 16 20 22 30 31 63
1 1 0	450.723 0 8 40 41 57 59 63
1 1 1	227.904 0 32 40 41 57 59 63
1 2 0	163.42 0 16 20 22 30 31 63
1 2 1	378.702 0 16 48 49 33 41 57 59 63
1 3 0	2482.62 0 16 24 16 20 22 30 31 63
1 3 1	718.177 0 16 0 8 9 41 9 41 45 61 63
1 4 0	5851.45 0 16 48 16 48 16 48 32 40 41 57 59 63
1 4 1	919.977 0 16 0 4 36 38 36 32 40 41 9 25 29 61 63
1 5 0	129.777 0 16 24 25 29 31 63
1 5 1	388.872 0 32 40 41 57 61 63
1 6 0	289.888 0 32 40 41 57 59 63
1 6 1	97.1432 0 16 24 16 20 22 30 31 63
1 7 0	818.558 0 16 0 32 40 41 43 59 63
1 7 1	577.604 0 16 20 22 30 31 63
1 8 0	2212.11 0 16 48 32 40 41 57 59 63
1 8 1	175.079 0 32 40 41 57 59 63
1 9 0	2464.06 0 16 48 52 36 32 40 41 57 59 63
1 9 1	607.477 0 16 20 16 20 22 30 62 63
1 10 0	2473.18 0 16 48 16 24 25 29 31 63
1 10 1	124.456 0 8 40 41 57 59 63
1 11 0	748.752 0 16 48 32 40 41 43 59 63
1 11 1	466.509 0 16 48 32 40 41 40 41 57 59 63
1 12 0	51.5288 0 32 40 41 43 59 63
1 12 1	284.81 0 16 20 22 30 62 63
1 13 0	2392.54 0 16 48 16 48 16 24 16 20 22 30 31 63
1 13 1	122.458 0 32 40 41 57 59 63
1 14 0	82.7872 0 16 20 22 30 31 63
1 14 1	366.587 0 16 48 16 20 22 30 31 63
1 15 0	3591.19 0 16 20 16 0 16 0 32 40 41 43 59 63
1 15 1	390.094 0 16 48 32 40 41 43 59 63
1 16 0	350.684 0 32 40 41 43 59 63
1 16 1	451.95 0 32 40 41 57 59 63
1 17 0	2789.71 0 16 0 32 40 41 57 59 63
1 17 1	142.435 0 8 9 41 45 47 63
1 18 0	637.393 0 16 48 32 40 41 40 41 57 61 63
1 18 1	450.985 0 16 48 16 48 32 0 32 40 41 57 61 63
1 19 0	478.422 0 32 40 41 45 61 63
1 19 1	372.539 0 16 48 32 40 41 57 59 63
