0 0 0	45942.2 0 8 12 44 40 44 40 44 40 44 40 44 40 44 12 44 40 44 12 44 40 44 40 44 40 44 46 44 40 44 40 44 12 44 40 44 40 44 45 44 12 44 45 44 45 44 46 44 12 44 40 44 40 44 40 44 12 44 45 44 40 44 12 44 40 44 12 44 45 44 12 44 40 44 40 44 40 44 40 44 40 44 40 44 40 44 45 44 46 62 63 127
0 0 1	3849.33 0 16 24 16 24 16 24 25 9 25 9 8 24 25 24 16 24 25 24 25 24 8 9 25 24 16 17 25 9 25 24 25 24 25 24 28 12 44 40 44 40 44 46 14 12 14 78 110 111 127
0 1 0	43835.6 0 8 9 25 9 25 9 1 9 25 9 8 9 25 9 25 9 8 40 44 12 44 40 44 45 44 46 44 40 44 12 44 46 44 45 44 45 44 46 44 45 44 40 44 40 44 12 44 45 44 45 44 40 44 40 44 40 44 12 44 12 44 12 44 12 44 45 44 12 44 12 44 45 44 40 44 40 44 12 44 12 44 46 44 12 44 40 44 40 44 108 110 126 127
0 1 1	1335.8 0 8 24 25 9 8 9 25 89 91 83 115 119 127
0 2 0	4660.26 0 8 9 25 9 25 9 11 9 11 75 91 123 127
0 2 1	8701.49 0 16 24 25 24 16 17 25 9 25 9 25 24 16 24 16 17 16 17 16 48 16 24 56 48 32 40 44 40 44 45 44 108 44 40 56 40 104 40 8 24 8 40 8 12 44 40 44 45 44 40 44 108 44 12 76 12 44 40 44 12 8 72 8 40 104 40 44 46 44 40 44 12 8 12 44 40 8 12 14 78 14 46 44 40 44 40 44 12 44 40 44 12 44 40 44 45 44 40 44 40 44 40 8 9 41 40 44 40 44 45 44 108 44 45 44 40 44 12 14 78 110 78 94 95 127
0 3 0	16742.2 0 8 40 44 40 44 40 44 40 44 60 44 12 44 40 44 40 44 40 44 45 44 12 44 40 44 40 44 12 44 40 44 12 44 40 44 46 44 40 44 40 44 46 110 126 127
0 3 1	3448.58 0 32 40 44 12 44 40 44 40 44 40 44 40 44 40 44 40 41 9 25 24 25 24 25 9 8 24 16 24 88 24 25 89 121 123 127
0 4 0	10698.5 0 16 24 25 9 25 9 25 9 25 9 25 89 93 95 127
0 4 1	987.947 0 8 9 8 12 44 12 44 12 44 40 42 46 110 111 127
0 5 0	13340.5 0 16 24 16 24 25 9 25 9 8 9 25 9 25 9 25 9 25 9 25 9 8 40 44 12 44 12 44 46 110 111 127
0 5 1	5511.22 0 16 24 16 48 16 24 16 24 88 24 8 12 8 24 25 24 25 9 25 9 25 24 25 24 25 24 16 24 16 24 16 17 16 24 25 24 16 24 25 9 25 24 28 24 16 18 16 18 22 18 16 24 8 9 8 24 8 9 25 89 93 95 127
0 6 0	13456.6 0 8 9 8 40 44 45 44 12 44 40 44 12 44 45 44 46 44 12 44 46 44 45 44 12 44 108 44 40 44 108 100 116 118 119 127
0 6 1	1234.69 0 16 24 16 24 8 40 44 45 44 40 32 40 44 46 110 111 127
0 7 0	16430.5 0 16 24 25 9 25 9 8 9 25 9 8 9 25 9 25 9 8 9 8 40 44 46 44 40 44 40 44 46 44 46 44 12 44 12 44 12 44 12 44 45 44 40 44 46 110 126 127
0 7 1	1469.33 0 16 24 16 24 16 24 25 9 25 89 93 95 127
0 8 0	20938.5 0 16 24 16 24 25 9 25 9 1 9 25 9 25 9 8 40 44 40 44 40 44 45 44 12 44 40 44 40 44 12 44 40 44 45 44 108 100 116 84 116 118 119 127
0 8 1	3377.77 0 16 24 16 17 16 24 25 17 16 24 8 40 44 40 44 12 44 40 8 24 16 24 16 20 16 17 16 18 16 24 25 24 25 24 16 24 16 24 16 24 16 20 16 18 16 17 21 20 21 23 87 83 115 83 115 119 127
0 9 0	328.402 0 16 48 16 0 16 17 16 48 52 116 118 119 127
0 9 1	5592.11 0 32 40 44 45 44 40 44 40 44 40 44 45 44 12 44 40 44 40 32 0 8 24 88 24 8 9 8 40 8 9 8 12 44 40 44 45 44 40 44 46 44 12 44 40 8 24 16 24 16 24 25 9 25 24 16 17 25 9 25 9 25 9 25 9 25 89 121 123 127
0 10 0	312.883 0 1 9 25 89 91 83 115 119 127
0 10 1	522.056 0 4 0 16 20 84 86 94 95 127
0 11 0	100362 0 8 9 11 9 25 9 25 9 25 9 25 9 25 9 8 9 25 9 25 9 25 9 8 40 44 12 44 45 44 40 44 40 44 40 44 12 44 40 44 46 44 40 44 108 44 40 44 12 44 108 44 40 44 12 44 46 44 45 44 40 44 36 44 12 44 36 44 12 44 46 44 12 44 40 44 46 44 40 44 45 44 40 44 40 44 45 44 40 44 46 44 12 44 40 44 45 44 40 44 40 44 40 44 40 44 12 44 45 44 12 44 12 44 40 44 40 44 46 44 40 44 40 44 12 44 45 44 45 44 40 44 108 44 12 44 40 44 46 44 40 44 46 44 46 44 40 44 45 44 45 44 45 44 40 44 40 44 40 44 45 44 40 44 12 44 40 44 12 44 46 44 40 44 12 44 12 44 12 44 40 44 40 44 46 44 46 44 46 44 12 44 12 44 40 44 40 44 40 44 40 44 12 44 40 44 40 44 46 44 12 44 45 44 40 44 45 44 40 44 40 44 46 110 126 127
0 11 1	1097.56 0 16 24 25 24 25 24 25 24 25 9 25 9 1 9 25 89 91 83 115 119 127
0 12 0	29006 0 16 24 25 9 25 24 8 9 25 9 25 9 25 9 25 9 25 9 25 9 25 9 25 9 11 9 8 9 8 9 73 9 25 9 8 9 25 9 8 40 44 12 44 40 44 46 44 40 44 46 110 111 127
0 12 1	155.56 0 16 24 25 27 31 95 127
0 13 0	325.006 0 32 96 112 116 118 119 127
0 13 1	347.681 0 8 24 25 89 93 95 127
0 14 0	18598.3 0 16 24 8 9 8 9 1 9 25 9 41 40 44 46 44 40 44 40 44 40 44 108 44 12 44 40 44 40 44 40 44 40 44 46 44 12 44 108 100 116 118 126 127
