0 0 0	25.5631 0 8 12 14 15
0 0 1	84.3485 0 8 9 8 9 11 15
0 1 0	19.3669 0 8 12 14 10 14 15
0 1 1	32.2726 0 8 12 14 15
0 2 0	27.6338 0 8 9 13 15
0 2 1	44.9703 0 4 12 14 15
0 3 0	29.1612 0 8 10 14 15
0 3 1	34.2861 0 4 12 14 15
0 4 0	32.5798 0 4 12 14 15
0 4 1	49.2161 0 8 10 11 15
0 5 0	20.88 0 8 12 14 15
0 5 1	54.3012 0 4 12 14 15
0 6 0	29.3948 0 4 12 14 15
0 6 1	56.4244 0 4 12 14 15
0 7 0	13.1188 0 8 9 11 15
0 7 1	59.1529 0 8 9 11 15
0 8 0	25.2039 0 8 9 13 15
0 8 1	18.1861 0 4 12 14 15
0 9 0	19.3624 0 4 12 14 15
0 9 1	44.2014 0 1 9 11 3 7 15
0 10 0	24.336 0 8 10 14 15
0 10 1	69.2301 0 8 12 14 15
0 11 0	15.1032 0 4 12 14 15
0 11 1	62.4194 0 8 12 14 15
0 12 0	53.4 0 8 9 11 15
0 12 1	44.3455 0 8 9 11 15
0 13 0	22.6574 0 8 12 14 15
0 13 1	47.1972 0 2 10 14 15
0 14 0	11.3149 0 2 6 14 15
0 14 1	112.906 0 4 12 14 15
0 15 0	14.0445 0 8 9 11 15
0 15 1	64.703 0 4 5 7 15
0 16 0	21.3979 0 2 10 14 15
0 16 1	52.5269 0 1 9 11 15
0 17 0	16.8871 0 8 12 14 15
0 17 1	23.1941 0 1 3 11 15
0 18 0	13.3336 0 8 10 14 15
0 18 1	30.5518 0 2 10 11 15
0 19 0	25.9283 0 2 10 14 15
0 19 1	64.1172 0 8 9 11 15
1 0 0	33.7199 0 8 9 11 15
1 0 1	192.961 0 1 3 2 3 11 15
1 1 0	55.0116 0 1 9 11 15
1 1 1	36.7179 0 1 9 13 15
1 2 0	38.9451 0 1 9 11 15
1 2 1	147.795 0 1 9 13 15
1 3 0	42.5749 0 1 3 11 15
1 3 1	97.085 0 2 3 11 15
1 4 0	77.6523 0 8 9 13 15
1 4 1	58.7967 0 2 10 14 15
1 5 0	80.8548 0 1 9 13 15
1 5 1	75.106 0 2 3 11 15
1 6 0	55.358 0 8 9 11 15
1 6 1	99.9465 0 4 6 4 12 14 15
1 7 0	30.809 0 4 6 14 15
1 7 1	90.5815 0 4 6 14 15
1 8 0	66.5522 0 2 6 14 15
1 8 1	113.659 0 8 9 11 15
1 9 0	57.7914 0 1 9 13 15
1 9 1	157.661 0 1 9 13 15
1 10 0	39.4922 0 2 6 14 15
1 10 1	90.3388 0 8 9 11 15
1 11 0	47.2213 0 1 9 11 15
1 11 1	114.87 0 2 3 1 9 13 15
1 12 0	66.4932 0 1 9 13 15
1 12 1	146.085 0 2 3 11 9 13 15
1 13 0	39.1758 0 2 6 14 15
1 13 1	92.7513 0 1 9 11 15
1 14 0	72.831 0 2 6 14 15
1 14 1	107.353 0 1 9 13 15
1 15 0	27.8695 0 4 6 14 15
1 15 1	47.4604 0 8 9 13 15
1 16 0	16.9351 0 1 9 13 15
1 16 1	84.2949 0 1 9 13 15
1 17 0	74.0023 0 8 9 11 15
1 17 1	107.299 0 2 6 14 15
1 18 0	104.749 0 1 9 11 15
1 18 1	59.8178 0 4 6 14 15
1 19 0	35.9886 0 1 9 11 15
1 19 1	135.622 0 4 6 14 15
2 0 0	177.1 0 8 9 13 15
2 0 1	66.8282 0 4 12 13 15
2 1 0	33.1803 0 4 5 7 15
2 1 1	136.182 0 4 5 13 5 4 5 13 15
2 2 0	87.6628 0 8 9 13 15
2 2 1	62.2687 0 4 12 13 15
2 3 0	32.2092 0 8 9 13 15
2 3 1	92.6554 0 8 9 13 15
2 4 0	45.1792 0 4 5 13 15
2 4 1	65.3571 0 4 5 7 15
2 5 0	66.466 0 4 12 14 15
2 5 1	117.646 0 4 12 4 12 13 15
2 6 0	194.394 0 8 9 11 15
2 6 1	69.0735 0 4 5 7 15
2 7 0	37.4515 0 8 9 13 15
2 7 1	102.225 0 8 9 13 15
2 8 0	46.2531 0 4 12 13 15
2 8 1	42.0247 0 4 12 13 15
2 9 0	146.47 0 8 10 14 15
2 9 1	72.1897 0 8 12 13 15
2 10 0	25.9689 0 8 12 13 15
2 10 1	43.0922 0 4 5 13 15
2 11 0	92.5081 0 8 9 13 15
2 11 1	46.8377 0 4 6 7 15
2 12 0	29.621 0 8 9 13 15
2 12 1	69.7338 0 4 5 13 15
2 13 0	229.945 0 8 10 14 15
2 13 1	61.6624 0 8 9 13 15
2 14 0	130.064 0 8 9 13 15
2 14 1	156.426 0 8 9 13 15
2 15 0	40.8729 0 8 9 13 15
2 15 1	66.7165 0 4 12 4 5 7 15
2 16 0	314.031 0 8 9 13 15
2 16 1	54.9542 0 8 9 13 15
2 17 0	59.4835 0 8 10 11 15
2 17 1	142.328 0 8 9 8 9 11 15
2 18 0	102.283 0 8 9 13 15
2 18 1	101.668 0 4 5 13 15
2 19 0	187.512 0 8 12 14 15
2 19 1	119.813 0 4 5 13 15
3 0 0	31.4774 0 2 6 14 15
3 0 1	101.138 0 2 6 14 15
3 1 0	56.5657 0 2 6 14 15
3 1 1	84.1667 0 2 6 14 15
3 2 0	17.2514 0 2 6 14 15
3 2 1	183.712 0 2 6 14 15
3 3 0	18.7362 0 2 6 14 15
3 3 1	168.287 0 2 6 14 15
3 4 0	16.4382 0 4 6 14 15
3 4 1	169.505 0 2 6 14 15
3 5 0	54.4502 0 2 6 14 15
3 5 1	86.2758 0 2 6 2 6 14 15
3 6 0	38.1459 0 2 6 14 15
3 6 1	37.9123 0 2 6 7 15
3 7 0	28.8288 0 2 6 14 15
3 7 1	108.093 0 2 6 14 15
3 8 0	64.5611 0 2 6 14 15
3 8 1	60.8748 0 2 3 11 15
3 9 0	36.9219 0 2 6 14 15
3 9 1	126.099 0 2 6 14 15
3 10 0	169.901 0 2 6 14 15
3 10 1	98.4214 0 2 6 7 15
3 11 0	47.0849 0 2 6 14 15
3 11 1	53.5819 0 2 6 14 15
3 12 0	12.7754 0 2 6 14 15
3 12 1	45.1756 0 2 6 14 15
3 13 0	53.7402 0 2 6 14 15
3 13 1	194.164 0 2 6 14 15
3 14 0	124.763 0 2 6 14 15
3 14 1	85.2348 0 2 6 14 15
3 15 0	41.8019 0 2 6 14 15
3 15 1	54.4282 0 4 6 14 15
3 16 0	37.411 0 2 6 14 15
3 16 1	130.101 0 2 6 14 15
3 17 0	35.669 0 2 6 14 15
3 17 1	72.2416 0 2 6 14 15
